date,is_droplet,status,placed_gmv,delivered_gmv,cancelled_gmv,completed_gmv
2025-01-04,Y,delivered,46448429020,44035893548,0,44035893548
2023-05-12,Y,cancelled,376258144,0,342105031,342105031
2022-07-29,Y,delivered,18629305012,17848552416,0,17848552416
2023-08-18,Y,cancelled,506852340,0,492788166,492788166
2024-08-15,Y,delivered,36332324820,36183117872,0,36183117872
2025-04-16,Y,delivered,41407971628,42437050068,0,42437050068
2024-01-29,Y,delivered,19310168460,18151161336,0,18151161336
2024-10-05,Y,delivered,43508666826,41928819568,0,41928819568
2024-04-12,Y,delivered,27768395880,25773401105,0,25773401105
2024-02-28,Y,cancelled,401432468,0,374416454,374416454
2023-09-22,Y,delivered,27304813510,25965173540,0,25965173540
2024-10-15,Y,delivered,34721654688,33873299460,0,33873299460
2021-11-18,Y,delivered,6722076277,7215602850,0,7215602850
2024-06-10,Y,delivered,29253598755,29063742516,0,29063742516
2022-03-10,Y,cancelled,189689040,0,170300934,170300934
2023-03-26,Y,delivered,23626469178,25371988856,0,25371988856
2023-11-26,N,cancelled,48394620,0,48463324,48463324
2020-09-15,Y,delivered,3707356850,4052266320,0,4052266320
2023-11-24,N,cancelled,66982167,0,64291136,64291136
2022-12-05,N,cancelled,60046060,0,55757700,55757700
2024-11-29,Y,cancelled,348113403,0,355988212,355988212
2024-06-19,Y,cancelled,391450984,0,389381580,389381580
2022-03-28,N,cancelled,4211902,0,3443748,3443748
2022-02-21,Y,cancelled,213773727,0,221572086,221572086
2020-03-24,Y,cancelled,64899209,0,69490720,69490720
2022-08-19,Y,cancelled,481862664,0,482797638,482797638
2024-11-22,Y,cancelled,409232845,0,426320044,426320044
2022-10-20,Y,cancelled,508095462,0,497257947,497257947
2021-11-12,N,cancelled,7505640,0,7008207,7008207
2025-02-26,Y,cancelled,525567548,0,538930760,538930760
2025-01-30,Y,cancelled,527841449,0,542929996,542929996
2023-04-18,Y,cancelled,418011636,0,449419688,449419688
2020-07-17,Y,cancelled,34551250,0,35695716,35695716
2024-01-15,N,conducted,6561432,5929804,0,5929804
2025-04-26,N,cancelled,50482529,0,70143684,70143684
2023-04-22,N,cancelled,38848279,0,46938024,46938024
2024-07-07,Y,cancelled,446377603,0,469122528,469122528
2024-01-22,N,cancelled,32257704,0,33347568,33347568
2020-03-23,N,conducted,657020,612920,0,612920
2025-03-20,N,cancelled,53864680,0,52813990,52813990
2020-08-10,N,cancelled,26680580,0,26198236,26198236
2023-02-04,N,cancelled,46646366,0,46247480,46247480
2025-04-28,N,cancelled,46419865,0,47369412,47369412
2022-10-08,Y,cancelled,500357022,0,507602612,507602612
2025-04-04,N,cancelled,83091663,0,78543296,78543296
2023-08-26,N,conducted,14826420,11732395,0,11732395
2021-07-24,N,cancelled,12072212,0,11295680,11295680
2023-08-23,N,cancelled,113002197,0,105511140,105511140
2024-09-25,Y,cancelled,758844512,0,724922485,724922485
2023-05-16,N,conducted,3228898,3230916,0,3230916
2020-11-05,N,conducted,3784619,2584912,0,2584912
2022-03-25,N,cancelled,12141927,0,13496385,13496385
2025-01-12,N,conducted,4650462,5015248,0,5015248
2021-02-11,N,cancelled,13958691,0,13520232,13520232
2021-04-15,N,cancelled,39322880,0,42236388,42236388
2022-04-30,N,cancelled,4598160,0,5042912,5042912
2024-08-08,N,conducted,7398160,6545814,0,6545814
2021-04-17,N,conducted,15235275,12140246,0,12140246
2020-04-11,N,cancelled,4460794,0,6037550,6037550
2020-04-25,Y,cancelled,8358504,0,7019334,7019334
2023-12-13,N,conducted,9580455,4449738,0,4449738
2023-11-09,N,cancelled,26579840,0,27229191,27229191
2023-04-13,N,conducted,2627023,3578358,0,3578358
2024-11-26,N,conducted,9445656,8683080,0,8683080
2022-02-27,N,conducted,4616520,4452048,0,4452048
2020-09-02,N,cancelled,16813016,0,14146286,14146286
2022-08-17,N,conducted,8547840,9429176,0,9429176
2022-02-16,N,cancelled,5346942,0,4674280,4674280
2022-09-04,N,conducted,2196210,2259946,0,2259946
2020-06-02,N,delivered,1010572,626940,0,626940
2024-03-21,N,delivered,1084160,1215480,0,1215480
2022-05-10,N,delivered,null,100,0,100
2024-10-24,Y,recollection_required,8196,null,null,null
2024-12-09,N,confirmed,3059,null,null,null
2025-03-10,N,booked,2106,null,null,null
2025-05-05,Y,report_hold,15982,null,null,null
2024-12-04,N,booked,3886,null,null,null
2024-12-14,Y,recollection_required,2354,null,null,null
2024-09-26,N,booked,6456,null,null,null
2025-05-04,Y,phlebo_assigned,699,null,null,null
2021-05-31,N,conducted,164138,null,null,null
2022-01-07,Y,cancelled,1016451072,0,1017365699,1017365699
2021-10-23,Y,delivered,8501777796,8203309128,0,8203309128
2023-06-01,Y,delivered,18552195840,18283435976,0,18283435976
2020-02-01,Y,delivered,2064409776,2003746536,0,2003746536
2024-04-10,Y,delivered,24614551880,23770678740,0,23770678740
2024-10-26,Y,delivered,19611248263,15558877512,0,15558877512
2022-10-08,Y,delivered,22594121130,22552375854,0,22552375854
2021-03-08,Y,cancelled,119609936,0,125235360,125235360
2022-02-01,Y,cancelled,246626148,0,253248231,253248231
2023-11-19,Y,delivered,19651132032,21071664544,0,21071664544
2020-07-29,Y,delivered,1914141852,1979337686,0,1979337686
2025-03-09,Y,cancelled,426968890,0,431517144,431517144
2022-09-04,N,cancelled,47034660,0,44843340,44843340
2022-05-23,Y,delivered,13749369088,13375132416,0,13375132416
2022-02-28,Y,delivered,10730006364,11407102995,0,11407102995
2023-10-18,Y,delivered,22396443648,23136876912,0,23136876912
2022-09-06,N,cancelled,56159840,0,49116330,49116330
2023-05-01,Y,cancelled,296512958,0,297196206,297196206
2024-03-15,Y,cancelled,463339147,0,490497774,490497774
2022-07-09,N,cancelled,76858096,0,75696414,75696414
2022-12-12,Y,delivered,22276950800,19867432452,0,19867432452
2022-02-08,Y,cancelled,224549888,0,217529895,217529895
2023-05-23,N,cancelled,155918592,0,146694088,146694088
2023-05-16,Y,cancelled,334878481,0,319883478,319883478
2021-02-15,Y,delivered,4175904999,3900417880,0,3900417880
2024-05-23,Y,cancelled,430321398,0,407587146,407587146
2024-03-28,N,conducted,8622126,7445202,0,7445202
2024-12-07,N,conducted,14923700,13808130,0,13808130
2021-03-10,Y,cancelled,95141880,0,103892489,103892489
2022-07-07,N,cancelled,46559433,0,46574220,46574220
2023-03-18,Y,cancelled,445593126,0,464120568,464120568
2021-02-20,N,cancelled,34993680,0,37893600,37893600
2020-12-23,Y,cancelled,90138738,0,94056432,94056432
2022-07-01,N,cancelled,75638914,0,79716054,79716054
2021-03-15,N,cancelled,32266255,0,35664243,35664243
2021-11-07,Y,cancelled,99439704,0,105795900,105795900
2020-04-14,Y,cancelled,10896816,0,9414243,9414243
